"","Model number","Model name","Term","Estimate","Std. error","Lower 95% CI","Upper 95% CI"
"1","1","Root Biomass vs Temperature & Community & Phenophase","b_Intercept",0.3,0.17,-0.07,0.64
"2","  ","  ","b_CommunityMix",-0.12,0.07,-0.25,0.01
"3","  ","  ","b_CommunityShrub",-0.09,0.07,-0.23,0.06
"4","  ","  ","b_Core_IDP2",0.15,0.06,0.03,0.26
"5","  ","  ","b_Core_IDP3",0.31,0.06,0.19,0.43
"6","  ","  ","b_quantilegroup2",0.07,0.09,-0.1,0.24
"7","  ","  ","b_quantilegroup3",0.08,0.07,-0.06,0.22
"8","  ","  ","b_quantilegroup4",0.07,0.07,-0.07,0.2
"9","  ","  ","sd_Site__Intercept",0.31,0.16,0.12,0.74
"10","  ","  ","sigma",0.25,0.02,0.21,0.29
"11","  ","  ","r_Site[BC_coastal,Intercept]",0.2,0.16,-0.1,0.55
"12","  ","  ","r_Site[Cairngorms,Intercept]",-0.21,0.18,-0.58,0.13
"13","  ","  ","r_Site[Kluane,Intercept]",-0.16,0.16,-0.51,0.17
"14","  ","  ","r_Site[Niwot,Intercept]",0.22,0.16,-0.1,0.56
"15","  ","  ","r_Site[Toolik,Intercept]",-0.06,0.16,-0.39,0.28
"16","  ","  ","lprior",-4.39,0.02,-4.44,-4.37
"17","2","Root Growth Rate vs Temperature & Community","b_Intercept",0.01,0.01,-0.01,0.02
"18","  ","  ","b_CommunityMix",0,0,-0.01,0
"19","  ","  ","b_CommunityShrub",0,0,-0.01,0
"20","  ","  ","b_quantilegroup2",0,0.01,-0.01,0.01
"21","  ","  ","b_quantilegroup3",0.01,0,0,0.01
"22","  ","  ","b_quantilegroup4",0,0,-0.01,0.01
"23","  ","  ","sd_Site__Intercept",0.01,0.01,0,0.03
"24","  ","  ","sigma",0.01,0,0.01,0.01
"25","  ","  ","r_Site[BC_coastal,Intercept]",0.01,0.01,0,0.02
"26","  ","  ","r_Site[Cairngorms,Intercept]",-0.01,0.01,-0.02,0.01
"27","  ","  ","r_Site[Kluane,Intercept]",0,0.01,-0.02,0.01
"28","  ","  ","r_Site[Niwot,Intercept]",0.01,0.01,-0.01,0.02
"29","  ","  ","r_Site[Toolik,Intercept]",0,0.01,-0.02,0.01
"30","  ","  ","lprior",-4.37,0,-4.37,-4.37
"31","3","Root Synchrony Metric vs Temperature & Community","b_Intercept",4.63,1.89,0.83,8.3
"32","  ","  ","b_CommunityMix",-7.61,1.88,-11.31,-3.83
"33","  ","  ","b_CommunityShrub",0.25,1.9,-3.49,4.05
"34","  ","  ","b_quantilegroup2",4.08,2.61,-1.1,9.16
"35","  ","  ","b_quantilegroup3",-4.43,1.91,-8.09,-0.68
"36","  ","  ","b_quantilegroup4",-3.28,1.84,-6.83,0.33
"37","  ","  ","sd_Site__Intercept",1.06,1.03,0.03,3.37
"38","  ","  ","sigma",3.9,0.54,3.01,5.13
"39","  ","  ","r_Site[BC_coastal,Intercept]",-0.31,0.99,-2.75,1.41
"40","  ","  ","r_Site[Cairngorms,Intercept]",0.45,1.18,-1.48,3.5
"41","  ","  ","r_Site[Kluane,Intercept]",-0.03,1,-2.2,2.1
"42","  ","  ","r_Site[Niwot,Intercept]",0.01,0.9,-1.91,1.97
"43","  ","  ","r_Site[Toolik,Intercept]",-0.12,0.93,-2.33,1.79
"44","  ","  ","lprior",-6.26,0.31,-6.92,-5.89
